"host","source","subdomain_listed","api_host_listed","api_row_count","valid_hostname_syntax","dns_resolves","address_count","sample_addresses","verification_note"
"book.indrive.com","Subdomains.csv","True","False","0","True","True","4","3.164.68.108;3.164.68.111;3.164.68.124",""
"book.indriver.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"caduceus.online","api_methods.csv","False","True",,"True","True","2","104.21.43.208;172.67.185.45",""
"careers.indrive.com","Subdomains.csv","True","False","0","True","True","1","157.180.29.49",""
"cargo.indrive.com","Subdomains.csv","True","False","0","True","True","4","3.164.68.108;3.164.68.111;3.164.68.124",""
"cargo.indriver.com","Subdomains.csv","True","False","0","True","True","4","3.164.68.108;3.164.68.111;3.164.68.124",""
"cas.eu-east-1.indriverapp.com","api_methods.csv","False","True","2","True","True","4","108.156.22.50;108.156.22.54;108.156.22.55",""
"cas-cf.euce1.indriverapp.com","api_methods.csv","False","True","8","True","True","4","13.33.235.106;13.33.235.125;13.33.235.85",""
"chat.eu-east-1.indriverapp.com","api_methods.csv","False","True","12","True","True","4","13.33.235.102;13.33.235.117;13.33.235.35",""
"cherdak-ext.console3.com","Subdomains.csv","True","False","0","True","True","2","188.42.196.15;188.42.196.189",""
"cherdak-test.console3.com","Subdomains.csv","True","False","0","True","True","2","188.42.196.15;188.42.196.189",""
"cht-cf.euce1.indriverapp.com","api_methods.csv","False","True","9","True","True","4","13.33.235.111;13.33.235.115;13.33.235.79",""
"co-cf.africa.afso1.aws.indriverapp.com","api_methods.csv","False","True","25","True","True","4","18.165.122.118;18.165.122.127;18.165.122.20",""
"co-cf.cis.euce1.aws.indriverapp.com","api_methods.csv","False","True","19","True","True","4","3.164.68.43;3.164.68.5;3.164.68.78",""
"co-cf.eu.euce1.aws.indriverapp.com","api_methods.csv","False","True","4","True","True","4","18.165.140.101;18.165.140.113;18.165.140.127",""
"co-cf.latam.saea1.aws.indriverapp.com","api_methods.csv","False","True","24","True","True","4","3.174.113.129;3.174.113.19;3.174.113.41",""
"co-cf.latam-br.saea1.aws.indriverapp.com","api_methods.csv","False","True","23","True","True","4","52.85.154.100;52.85.154.107;52.85.154.43",""
"co-cf.latam-co.saea1.aws.indriverapp.com","api_methods.csv","False","True","23","True","True","4","52.85.154.104;52.85.154.40;52.85.154.43",""
"co-cf.latam-mx.usea1.aws.indriverapp.com","api_methods.csv","False","True","29","True","True","4","52.85.154.105;52.85.154.22;52.85.154.31",""
"co-cf.latam-pe.saea1.aws.indriverapp.com","api_methods.csv","False","True","24","True","True","4","13.33.235.10;13.33.235.105;13.33.235.111",""
"co-cf.mena.meso1.aws.indriverapp.com","api_methods.csv","False","True","23","True","True","4","18.165.140.114;18.165.140.14;18.165.140.18",""
"co-cf.mena-eg.meso1.aws.indriverapp.com","api_methods.csv","False","True","27","True","True","4","13.33.235.24;13.33.235.30;13.33.235.62",""
"co-cf.sa.apso1.aws.indriverapp.com","api_methods.csv","False","True","19","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-cf.sa-in.apso1.aws.indriverapp.com","api_methods.csv","False","True","21","True","True","4","18.165.122.105;18.165.122.25;18.165.122.34",""
"co-cf.sea.apse3.aws.indriverapp.com","api_methods.csv","False","True","22","True","True","4","108.156.22.115;108.156.22.2;108.156.22.58",""
"co-in-cf.africa.afso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.cis.euce1.aws.indriverapp.com","api_methods.csv","False","True","3","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.eu.euce1.aws.indriverapp.com","api_methods.csv","False","True","2","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.latam.saea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"co-in-cf.latam-br.saea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
