horizon_h,bin_key,n,n_low,n_high,manifest_rate_low,manifest_rate_high,delta_high_minus_low
6,"(2, 0.0, 1.0, 1, 1.0)",22,15,7,0.06666666666666667,0.0,-0.06666666666666667
6,"(2, 0.0, 1.0, 1, 2.0)",14,5,9,0.0,0.1111111111111111,0.1111111111111111
6,"(2, 0.0, 1.0, 2, 0.0)",15,8,7,0.0,0.0,0.0
6,"(2, 0.0, 1.0, 2, 1.0)",20,15,5,0.13333333333333333,0.0,-0.13333333333333333
6,"(2, 0.0, 1.0, 2, 2.0)",36,10,26,0.0,0.0,0.0
6,"(2, 0.0, 2.0, 0, 0.0)",23,6,17,0.0,0.0,0.0
6,"(2, 0.0, 2.0, 0, 1.0)",22,3,19,0.0,0.05263157894736842,0.05263157894736842
6,"(2, 0.0, 2.0, 1, 0.0)",13,5,8,0.0,0.0,0.0
6,"(2, 0.0, 2.0, 1, 1.0)",30,10,20,0.1,0.15,0.04999999999999999
6,"(2, 0.0, 2.0, 1, 2.0)",42,6,36,0.0,0.16666666666666666,0.16666666666666666
6,"(2, 0.0, 2.0, 2, 0.0)",13,8,5,0.0,0.0,0.0
6,"(2, 0.0, 2.0, 2, 1.0)",21,13,8,0.07692307692307693,0.0,-0.07692307692307693
6,"(2, 0.0, 2.0, 2, 2.0)",46,3,43,0.0,0.09302325581395349,0.09302325581395349
6,"(2, 1.0, 0.0, 0, 0.0)",15,3,12,0.0,0.08333333333333333,0.08333333333333333
6,"(2, 1.0, 0.0, 1, 0.0)",13,6,7,0.0,0.14285714285714285,0.14285714285714285
6,"(2, 1.0, 0.0, 1, 1.0)",18,5,13,0.0,0.07692307692307693,0.07692307692307693
6,"(2, 1.0, 0.0, 2, 0.0)",10,5,5,0.2,0.0,-0.2
6,"(2, 1.0, 0.0, 2, 1.0)",14,8,6,0.0,0.0,0.0
6,"(2, 1.0, 1.0, 0, 0.0)",17,7,10,0.0,0.0,0.0
6,"(2, 1.0, 1.0, 0, 1.0)",11,5,6,0.0,0.16666666666666666,0.16666666666666666
6,"(2, 1.0, 1.0, 0, 2.0)",23,3,20,0.0,0.1,0.1
6,"(2, 1.0, 1.0, 1, 0.0)",12,7,5,0.0,0.0,0.0
6,"(2, 1.0, 1.0, 1, 2.0)",22,5,17,0.0,0.058823529411764705,0.058823529411764705
6,"(2, 1.0, 1.0, 2, 1.0)",22,16,6,0.0,0.0,0.0
6,"(2, 1.0, 1.0, 2, 2.0)",32,13,19,0.15384615384615385,0.15789473684210525,0.0040485829959514
6,"(2, 1.0, 2.0, 0, 1.0)",16,3,13,0.0,0.0,0.0
6,"(2, 1.0, 2.0, 1, 0.0)",17,7,10,0.0,0.0,0.0
6,"(2, 1.0, 2.0, 1, 1.0)",13,9,4,0.1111111111111111,0.25,0.1388888888888889
6,"(2, 1.0, 2.0, 1, 2.0)",35,5,30,0.2,0.13333333333333333,-0.06666666666666668
6,"(2, 1.0, 2.0, 2, 0.0)",22,12,10,0.25,0.0,-0.25
6,"(2, 1.0, 2.0, 2, 1.0)",29,14,15,0.0,0.0,0.0
6,"(2, 1.0, 2.0, 2, 2.0)",44,4,40,0.25,0.15,-0.1
6,"(2, 2.0, 0.0, 1, 1.0)",17,7,10,0.0,0.1,0.1
6,"(2, 2.0, 0.0, 2, 0.0)",13,9,4,0.0,0.0,0.0
6,"(2, 2.0, 0.0, 2, 1.0)",17,6,11,0.0,0.0,0.0
6,"(2, 2.0, 0.0, 2, 2.0)",16,3,13,0.0,0.07692307692307693,0.07692307692307693
6,"(2, 2.0, 1.0, 0, 0.0)",9,5,4,0.0,0.0,0.0
6,"(2, 2.0, 1.0, 0, 1.0)",10,4,6,0.0,0.0,0.0
6,"(2, 2.0, 1.0, 1, 1.0)",17,13,4,0.0,0.25,0.25
6,"(2, 2.0, 1.0, 1, 2.0)",21,11,10,0.18181818181818182,0.2,0.018181818181818188
6,"(2, 2.0, 1.0, 2, 0.0)",23,19,4,0.05263157894736842,0.0,-0.05263157894736842
6,"(2, 2.0, 1.0, 2, 1.0)",24,19,5,0.0,0.0,0.0
6,"(2, 2.0, 1.0, 2, 2.0)",27,10,17,0.0,0.11764705882352941,0.11764705882352941
6,"(2, 2.0, 2.0, 1, 0.0)",19,8,11,0.0,0.2727272727272727,0.2727272727272727
6,"(2, 2.0, 2.0, 1, 1.0)",15,11,4,0.09090909090909091,0.0,-0.09090909090909091
6,"(2, 2.0, 2.0, 2, 0.0)",26,10,16,0.0,0.0625,0.0625
6,"(2, 2.0, 2.0, 2, 1.0)",38,15,23,0.06666666666666667,0.08695652173913043,0.020289855072463767
12,"(0, 0.0, 0.0, 0, 0.0)",33,7,26,0.0,0.0,0.0
12,"(0, 0.0, 0.0, 0, 1.0)",34,10,24,0.1,0.08333333333333333,-0.016666666666666677
12,"(0, 0.0, 0.0, 1, 0.0)",44,32,12,0.0,0.0,0.0
12,"(0, 0.0, 0.0, 1, 1.0)",27,18,9,0.0,0.0,0.0
12,"(0, 0.0, 0.0, 1, 2.0)",18,6,12,0.0,0.0,0.0
12,"(0, 0.0, 0.0, 2, 0.0)",23,16,7,0.0,0.14285714285714285,0.14285714285714285
12,"(0, 0.0, 0.0, 2, 1.0)",20,12,8,0.0,0.0,0.0
12,"(0, 0.0, 1.0, 0, 0.0)",26,13,13,0.0,0.0,0.0
12,"(0, 0.0, 1.0, 0, 1.0)",23,16,7,0.0,0.0,0.0
12,"(0, 0.0, 1.0, 0, 2.0)",20,6,14,0.16666666666666666,0.2857142857142857,0.11904761904761904
12,"(0, 0.0, 1.0, 1, 1.0)",21,18,3,0.05555555555555555,0.0,-0.05555555555555555
12,"(0, 0.0, 1.0, 1, 2.0)",17,10,7,0.0,0.0,0.0
12,"(0, 0.0, 1.0, 2, 0.0)",15,12,3,0.0,0.0,0.0
12,"(0, 0.0, 1.0, 2, 2.0)",17,11,6,0.09090909090909091,0.0,-0.09090909090909091
