horizon_h,lambda,lambda_percent,mode,ground_truth_leakage,n,n_positive,clean_auc,mixed_auc,auc_delta,auc_delta_ge_0p01,oracle_auc,distance_to_oracle_auc,oracle_proximity,oracle_proximity_alert,future_auc,matched_delta,temporal_passed,forbidden_passed,threshold_fragile,audit_pass_candidate,lamp_detected_leakage,output_classes,forbidden_valid_feature_violations
18,5e-05,0.005,strict_declared,True,4812,223,0.6248750423854275,0.6249532172371639,7.817485173644556e-05,False,1.0,0.3750467827628361,0.0002083968292420773,False,0.6569233114476322,0.024775953145408983,False,False,False,False,True,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,5e-05,0.005,geometry_only,True,4812,223,0.6248750423854275,0.6249532172371639,7.817485173644556e-05,False,1.0,0.3750467827628361,0.0002083968292420773,False,0.6569233114476322,0.024775953145408983,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
18,0.0001,0.01,strict_declared,True,4812,223,0.6248750423854275,0.6250274833463136,0.00015244096088617987,False,1.0,0.37497251665368636,0.0004063738170223467,False,0.6569233114476322,0.024775953145408983,False,False,False,False,True,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.0001,0.01,geometry_only,True,4812,223,0.6248750423854275,0.6250274833463136,0.00015244096088617987,False,1.0,0.37497251665368636,0.0004063738170223467,False,0.6569233114476322,0.024775953145408983,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
18,0.0005,0.05,strict_declared,True,4812,223,0.6248750423854275,0.6257378973114691,0.0008628549260416563,False,1.0,0.3742621026885309,0.00230018000276113,True,0.6569233114476322,0.024775953145408983,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.0005,0.05,geometry_only,True,4812,223,0.6248750423854275,0.6257378973114691,0.0008628549260416563,False,1.0,0.3742621026885309,0.00230018000276113,True,0.6569233114476322,0.024775953145408983,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.001,0.1,strict_declared,True,4812,223,0.6248750423854275,0.6266447255916127,0.001769683206185202,False,1.0,0.37335527440838734,0.004717583221971298,True,0.6569233114476322,0.024775953145408983,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.001,0.1,geometry_only,True,4812,223,0.6248750423854275,0.6266447255916127,0.001769683206185202,False,1.0,0.37335527440838734,0.004717583221971298,True,0.6569233114476322,0.024775953145408983,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.002,0.2,strict_declared,True,4812,223,0.6248750423854275,0.6283645723298158,0.0034895299443883365,False,1.0,0.3716354276701842,0.009302313465300551,True,0.6569233114476322,0.025642128979103222,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.002,0.2,geometry_only,True,4812,223,0.6248750423854275,0.6283645723298158,0.0034895299443883365,False,1.0,0.3716354276701842,0.009302313465300551,True,0.6569233114476322,0.025642128979103222,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.005,0.5,strict_declared,True,4812,223,0.6248750423854275,0.6335504965568863,0.008675454171458874,False,1.0,0.36644950344311367,0.02312683812515773,True,0.6569233114476322,0.026508304812797465,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.005,0.5,geometry_only,True,4812,223,0.6248750423854275,0.6335504965568863,0.008675454171458874,False,1.0,0.36644950344311367,0.02312683812515773,True,0.6569233114476322,0.026508304812797465,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.01,1.0,strict_declared,True,4812,223,0.6248750423854275,0.6423950038452255,0.01751996145979806,True,1.0,0.3576049961547745,0.04670433439355212,True,0.6569233114476322,0.029106832313880185,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.01,1.0,geometry_only,True,4812,223,0.6248750423854275,0.6423950038452255,0.01751996145979806,True,1.0,0.3576049961547745,0.04670433439355212,True,0.6569233114476322,0.029106832313880185,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.02,2.0,strict_declared,True,4812,223,0.6248750423854275,0.6599745736294726,0.03509953124404519,True,1.0,0.34002542637052735,0.0935675713694014,True,0.6569233114476322,0.03170955717191037,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.02,2.0,geometry_only,True,4812,223,0.6248750423854275,0.6599745736294726,0.03509953124404519,True,1.0,0.34002542637052735,0.0935675713694014,True,0.6569233114476322,0.03170955717191037,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.05,5.0,strict_declared,True,4812,223,0.6248750423854275,0.7114351241563224,0.08656008177089491,True,1.0,0.2885648758436776,0.2307499941388392,True,0.6569233114476322,0.04994562311261035,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.05,5.0,geometry_only,True,4812,223,0.6248750423854275,0.7114351241563224,0.08656008177089491,True,1.0,0.2885648758436776,0.2307499941388392,True,0.6569233114476322,0.04994562311261035,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.1,10.0,strict_declared,True,4812,223,0.6248750423854275,0.7903330932713928,0.16545805088596532,True,1.0,0.20966690672860722,0.44107449405157295,True,0.6569233114476322,0.07077350507801683,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,0.1,10.0,geometry_only,True,4812,223,0.6248750423854275,0.7903330932713928,0.16545805088596532,True,1.0,0.20966690672860722,0.44107449405157295,True,0.6569233114476322,0.07077350507801683,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
